B1,B2,B3,Cloud_Cover,Cloud_Cover_Land,Image_ID,Image_Quality_OLI,Image_Quality_TIRS,MNDWI,NDBI,NDVI,QA_PIXEL,Timestamp,.geo
12100,11172,10668,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.1694176269075054,-0.2069693769799366,0.4123316446311627,21824,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
9690,8609,7796,67.04,67.04,LC09_230062_20230326,9.0,9.0,-0.088613514145429,-0.1951598962834917,0.3439595684711828,23888,2023-03-26T14:06:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
12054,11206,10574,67.04,67.04,LC09_230062_20230326,9.0,9.0,-0.1379071379071379,-0.1166735229897788,0.3000294724432655,21824,2023-03-26T14:06:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
10080,8905,8305,67.04,67.04,LC09_230062_20230326,9.0,9.0,-0.1982429888497369,-0.2521314735034495,0.4956277663823815,21824,2023-03-26T14:06:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
11644,10558,9925,67.04,67.04,LC09_230062_20230326,9.0,9.0,-0.1353023174769123,-0.2195604000718692,0.3961125775599053,21824,2023-03-26T14:06:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
10130,8967,8246,67.04,67.04,LC09_230062_20230326,9.0,9.0,-0.2023216444981862,-0.2950285017441366,0.535801970874113,21824,2023-03-26T14:06:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
9759,8701,7743,67.04,67.04,LC09_230062_20230326,9.0,9.0,-0.020493358633776,-0.1472065119720915,0.2155017921146953,23888,2023-03-26T14:06:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
11840,11109,10399,67.04,67.04,LC09_230062_20230326,9.0,9.0,0.2280349551251771,-0.1824151084985304,-0.0540797438591225,23826,2023-03-26T14:06:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
10414,9353,8784,67.04,67.04,LC09_230062_20230326,9.0,9.0,-0.0853334721716041,-0.2213797482538378,0.3622162049573005,21824,2023-03-26T14:06:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
11462,10434,9787,67.04,67.04,LC09_230062_20230326,9.0,9.0,-0.1500651324359531,-0.2305949337671392,0.4143768154652599,21824,2023-03-26T14:06:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
12693,11751,10673,67.04,67.04,LC09_230062_20230326,9.0,9.0,-0.1065628662313745,-0.1851189742325237,0.3225329343377016,21824,2023-03-26T14:06:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
10491,9339,8557,67.04,67.04,LC09_230062_20230326,9.0,9.0,-0.1047758539519799,-0.1587333200557658,0.3203522149600581,21824,2023-03-26T14:06:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
10190,9049,8695,67.04,67.04,LC09_230062_20230326,9.0,9.0,-0.2171251069193715,-0.2084089711307606,0.4783823476734606,21824,2023-03-26T14:06:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
12508,11510,10487,67.04,67.04,LC09_230062_20230326,9.0,9.0,-0.1057770198251971,-0.1919745778553181,0.3283338541124188,22080,2023-03-26T14:06:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
10194,9161,8442,67.04,67.04,LC09_230062_20230326,9.0,9.0,-0.1632056301729692,-0.1758261052779436,0.3912826692151078,21824,2023-03-26T14:06:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
9823,8621,7296,67.04,67.04,LC09_230062_20230326,9.0,9.0,0.047598535429679,-0.0893114574037207,0.1074818537130094,21824,2023-03-26T14:06:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
13691,12801,12163,67.04,67.04,LC09_230062_20230326,9.0,9.0,-0.1318963671401042,-0.1723724037156873,0.324782544596786,21824,2023-03-26T14:06:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
10131,9021,8551,67.04,67.04,LC09_230062_20230326,9.0,9.0,-0.2327156893534927,-0.2215107383691279,0.5033126438384825,21824,2023-03-26T14:06:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
10240,9135,8504,67.04,67.04,LC09_230062_20230326,9.0,9.0,-0.1567674764501735,-0.1921891770245473,0.4020929190927969,21824,2023-03-26T14:06:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
13819,12908,11926,67.04,67.04,LC09_230062_20230326,9.0,9.0,-0.1074021405583414,-0.1717188680829624,0.3019624918359095,22018,2023-03-26T14:06:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
10296,9194,8696,67.04,67.04,LC09_230062_20230326,9.0,9.0,-0.1221924998738202,-0.197762944254014,0.3802336701176666,21824,2023-03-26T14:06:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
9824,8700,7669,67.04,67.04,LC09_230062_20230326,9.0,9.0,-0.0466185977125808,-0.1179213159411179,0.220056028814819,23888,2023-03-26T14:06:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
